side,position,gamelength,gamelength,result,result,kills,deaths,assists,KDA,teamkills,teamdeaths,team assist,damageshare,golddiffat10,golddiffat15,totalgold,totalgolddiff,teamgolddiff
Blue,top,2084,34.73,1,win,2,0,8,10.00,18,14,40,0.0613005,480,950,13892,394,10353
Blue,jng,2084,34.73,1,win,4,5,6,2.00,18,14,40,0.212287,-14,-22,11784,1238,10353
Blue,mid,2084,34.73,1,win,4,3,9,4.33,18,14,40,0.315642,335,700,15466,3206,10353
Blue,bot,2084,34.73,1,win,5,0,8,13.00,18,14,40,0.278267,200,137,14686,2892,10353
Blue,sup,2084,34.73,1,win,3,6,9,2.00,18,14,40,0.132504,-82,47,9404,2623,10353
Red,top,2084,34.73,0,loss,9,2,3,6.00,14,18,35,0.19724,-480,-950,13498,-394,-10353
Red,jng,2084,34.73,0,loss,3,4,8,2.75,14,18,35,0.283723,14,22,10546,-1238,-10353
Red,mid,2084,34.73,0,loss,1,3,6,2.33,14,18,35,0.153947,-335,-700,12260,-3206,-10353
Red,bot,2084,34.73,0,loss,1,3,10,3.67,14,18,35,0.282933,-200,-137,11794,-2892,-10353
Red,sup,2084,34.73,0,loss,0,6,8,1.33,14,18,35,0.0821574,82,-47,6781,-2623,-10353
Blue,top,1976,32.93,1,win,7,3,6,4.33,27,8,70,0.292227,300,777,15083,3025,9317
Blue,jng,1976,32.93,1,win,13,1,8,21.00,27,8,70,0.293253,468,1326,15531,4601,9317
Blue,mid,1976,32.93,1,win,2,0,15,17.00,27,8,70,0.160439,-191,-596,12298,1429,9317
Blue,bot,1976,32.93,1,win,3,3,21,8.00,27,8,70,0.175799,-711,-238,11905,-1544,9317
Blue,sup,1976,32.93,1,win,2,1,20,22.00,27,8,70,0.0782824,29,293,8675,1806,9317
Red,top,1976,32.93,0,loss,2,5,2,0.80,8,27,12,0.337375,-300,-777,12058,-3025,-9317
Red,jng,1976,32.93,0,loss,3,5,2,1.00,8,27,12,0.111432,-468,-1326,10930,-4601,-9317
Red,mid,1976,32.93,0,loss,0,5,2,0.40,8,27,12,0.1896,191,596,10869,-1429,-9317
Red,bot,1976,32.93,0,loss,3,5,2,1.00,8,27,12,0.287143,711,238,13449,1544,-9317
Red,sup,1976,32.93,0,loss,0,7,4,0.57,8,27,12,0.0744496,-29,-293,6869,-1806,-9317
Blue,top,2448,40.80,1,win,3,4,4,1.75,17,17,27,0.18311,557,1104,17720,1510,11371
Blue,jng,2448,40.80,1,win,9,2,5,7.00,17,17,27,0.349506,692,1344,17756,6547,11371
Blue,mid,2448,40.80,1,win,2,2,9,5.50,17,17,27,0.154832,-35,242,14389,437,11371
Blue,bot,2448,40.80,1,win,3,4,4,1.75,17,17,27,0.240118,224,1039,18648,3957,11371
Blue,sup,2448,40.80,1,win,0,5,5,1.00,17,17,27,0.0724344,273,306,8933,-1080,11371
Red,top,2448,40.80,0,loss,6,4,5,2.75,17,17,51,0.236217,-557,-1104,16210,-1510,-11371
Red,jng,2448,40.80,0,loss,1,4,11,3.00,17,17,51,0.0989123,-692,-1344,11209,-6547,-11371
Red,mid,2448,40.80,0,loss,3,3,12,5.00,17,17,51,0.258571,35,-242,13952,-437,-11371
Red,bot,2448,40.80,0,loss,4,4,10,3.50,17,17,51,0.284597,-224,-1039,14691,-3957,-11371
Red,sup,2448,40.80,0,loss,3,2,13,8.00,17,17,51,0.121703,-273,-306,10013,1080,-11371
Blue,top,2133,35.55,0,loss,1,3,1,0.67,2,16,3,0.265461,147,856,13331,-256,-8468
Blue,jng,2133,35.55,0,loss,1,2,1,1.00,2,16,3,0.230603,-102,486,11564,-3624,-8468
Blue,mid,2133,35.55,0,loss,0,4,0,0.00,2,16,3,0.197742,302,255,13317,-3159,-8468
Blue,bot,2133,35.55,0,loss,0,2,0,0.00,2,16,3,0.2701,114,165,14498,947,-8468
Blue,sup,2133,35.55,0,loss,0,5,1,0.20,2,16,3,0.0360946,-40,-161,7102,-2376,-8468
Red,top,2133,35.55,1,win,2,1,9,11.00,16,2,44,0.179201,-147,-856,13587,256,8468
Red,jng,2133,35.55,1,win,3,0,7,10.00,16,2,44,0.150776,102,-486,15188,3624,8468
Red,mid,2133,35.55,1,win,7,0,7,14.00,16,2,44,0.338841,-302,-255,16476,3159,8468
Red,bot,2133,35.55,1,win,3,1,6,9.00,16,2,44,0.237027,-114,-165,13551,-947,8468
Red,sup,2133,35.55,1,win,1,0,15,16.00,16,2,44,0.0941546,40,161,9478,2376,8468
Blue,top,2010,33.50,1,win,9,1,5,14.00,22,10,53,0.276685,-14,453,14878,3031,9371
Blue,jng,2010,33.50,1,win,3,1,7,10.00,22,10,53,0.081437,-326,-472,11055,888,9371
Blue,mid,2010,33.50,1,win,5,3,9,4.67,22,10,53,0.146855,2,-191,15086,450,9371
Blue,bot,2010,33.50,1,win,5,2,14,9.50,22,10,53,0.422367,-277,160,15257,3769,9371
Blue,sup,2010,33.50,1,win,0,3,18,6.00,22,10,53,0.0726566,0,69,8503,1233,9371
Red,top,2010,33.50,0,loss,2,5,2,0.80,10,22,21,0.192859,14,-453,11847,-3031,-9371
Red,jng,2010,33.50,0,loss,1,3,5,2.00,10,22,21,0.195884,326,472,10167,-888,-9371
Red,mid,2010,33.50,0,loss,4,4,1,1.25,10,22,21,0.345937,-2,191,14636,-450,-9371
Red,bot,2010,33.50,0,loss,2,6,6,1.33,10,22,21,0.185336,277,-160,11488,-3769,-9371
Red,sup,2010,33.50,0,loss,1,4,7,2.00,10,22,21,0.0799847,0,-69,7270,-1233,-9371
Blue,top,2102,35.03,0,loss,0,4,5,1.25,6,16,14,0.208177,-819,-956,9837,-5675,-13129
Blue,jng,2102,35.03,0,loss,2,2,3,2.50,6,16,14,0.280762,-269,-328,10729,-1070,-13129
Blue,mid,2102,35.03,0,loss,3,5,1,0.80,6,16,14,0.196616,834,1119,12592,-55,-13129
Blue,bot,2102,35.03,0,loss,0,3,3,1.00,6,16,14,0.218017,-275,-791,12099,-4341,-13129
Blue,sup,2102,35.03,0,loss,1,2,2,1.50,6,16,14,0.0964279,-131,-838,7218,-1988,-13129
Red,top,2102,35.03,1,win,3,1,4,7.00,16,6,32,0.176646,819,956,15512,5675,13129
Red,jng,2102,35.03,1,win,3,3,7,3.33,16,6,32,0.179827,269,328,11799,1070,13129
Red,mid,2102,35.03,1,win,3,0,8,11.00,16,6,32,0.239203,-834,-1119,12647,55,13129
Red,bot,2102,35.03,1,win,5,0,6,11.00,16,6,32,0.292012,275,791,16440,4341,13129
Red,sup,2102,35.03,1,win,2,2,7,4.50,16,6,32,0.112312,131,838,9206,1988,13129
Blue,top,1907,31.78,0,loss,0,5,0,0.00,2,16,3,0.226894,-1173,-1912,10090,-4873,-10509
Blue,jng,1907,31.78,0,loss,1,3,0,0.33,2,16,3,0.174299,-476,-193,10178,-1948,-10509
Blue,mid,1907,31.78,0,loss,0,2,2,1.00,2,16,3,0.22573,-27,-219,10401,-1484,-10509
Blue,bot,1907,31.78,0,loss,1,1,0,1.00,2,16,3,0.303495,-273,-241,11669,-1280,-10509
Blue,sup,1907,31.78,0,loss,0,5,1,0.20,2,16,3,0.0695813,-5,-91,6118,-924,-10509
Red,top,1907,31.78,1,win,10,0,6,16.00,16,2,44,0.339868,1173,1912,14963,4873,10509
Red,jng,1907,31.78,1,win,2,1,9,11.00,16,2,44,0.205927,476,193,12126,1948,10509
Red,mid,1907,31.78,1,win,2,1,10,12.00,16,2,44,0.170379,27,219,11885,1484,10509
Red,bot,1907,31.78,1,win,2,0,10,12.00,16,2,44,0.236173,273,241,12949,1280,10509
Red,sup,1907,31.78,1,win,0,0,9,9.00,16,2,44,0.0476539,5,91,7042,924,10509
Blue,top,1711,28.52,0,loss,1,6,3,0.67,10,30,20,0.160248,-950,-1150,7575,-5207,-12289
Blue,jng,1711,28.52,0,loss,3,6,6,1.50,10,30,20,0.247354,294,517,11175,-68,-12289
Blue,mid,1711,28.52,0,loss,2,6,4,1.00,10,30,20,0.223311,-585,-784,9153,-5681,-12289
Blue,bot,1711,28.52,0,loss,4,5,4,1.60,10,30,20,0.322954,254,1464,14242,1239,-12289
Blue,sup,1711,28.52,0,loss,0,7,3,0.43,10,30,20,0.0461337,-725,-473,5784,-2572,-12289
Red,top,1711,28.52,1,win,7,1,9,16.00,30,10,46,0.211796,950,1150,12782,5207,12289
Red,jng,1711,28.52,1,win,4,2,9,6.50,30,10,46,0.120461,-294,-517,11243,68,12289
Red,mid,1711,28.52,1,win,11,2,3,7.00,30,10,46,0.312747,585,784,14834,5681,12289
Red,bot,1711,28.52,1,win,4,4,13,4.25,30,10,46,0.296477,-254,-1464,13003,-1239,12289
Red,sup,1711,28.52,1,win,4,1,12,16.00,30,10,46,0.0585187,725,473,8356,2572,12289
Blue,top,2388,39.80,0,loss,2,4,4,1.50,13,20,26,0.192107,-116,-531,14143,-1308,-5283
Blue,jng,2388,39.80,0,loss,2,7,7,1.29,13,20,26,0.134749,-280,-789,12195,-2119,-5283
Blue,mid,2388,39.80,0,loss,3,4,8,2.75,13,20,26,0.296178,412,1386,17379,-1033,-5283
Blue,bot,2388,39.80,0,loss,6,2,1,3.50,13,20,26,0.323718,690,805,17000,735,-5283
Blue,sup,2388,39.80,0,loss,0,3,6,2.00,13,20,26,0.0532495,162,217,8392,-1558,-5283
Red,top,2388,39.80,1,win,6,2,9,7.50,20,13,49,0.205149,116,531,15451,1308,5283
Red,jng,2388,39.80,1,win,2,3,7,3.00,20,13,49,0.133116,280,789,14314,2119,5283
Red,mid,2388,39.80,1,win,7,2,11,9.00,20,13,49,0.366646,-412,-1386,18412,1033,5283
Red,bot,2388,39.80,1,win,4,4,9,3.25,20,13,49,0.225493,-690,-805,16265,-735,5283
Red,sup,2388,39.80,1,win,1,2,13,7.00,20,13,49,0.0695969,-162,-217,9950,1558,5283
Blue,top,2032,33.87,1,win,3,3,7,3.33,13,13,35,0.200919,415,2038,13991,1728,6389
Blue,jng,2032,33.87,1,win,2,3,4,2.00,13,13,35,0.137058,-124,-422,12204,-326,6389
Blue,mid,2032,33.87,1,win,2,2,9,5.50,13,13,35,0.294539,-228,218,14163,3515,6389
Blue,bot,2032,33.87,1,win,5,4,5,2.50,13,13,35,0.309603,194,-249,12864,-523,6389
Blue,sup,2032,33.87,1,win,1,1,10,11.00,13,13,35,0.0578815,78,183,8495,1995,6389
Red,top,2032,33.87,0,loss,4,3,5,3.00,13,13,33,0.208595,-415,-2038,12263,-1728,-6389
Red,jng,2032,33.87,0,loss,4,3,8,4.00,13,13,33,0.259165,124,422,12530,326,-6389
Red,mid,2032,33.87,0,loss,2,2,6,4.00,13,13,33,0.175424,228,-218,10648,-3515,-6389
Red,bot,2032,33.87,0,loss,3,0,8,11.00,13,13,33,0.310472,-194,249,13387,523,-6389
Red,sup,2032,33.87,0,loss,0,5,6,1.20,13,13,33,0.0463441,-78,-183,6500,-1995,-6389
Blue,top,1742,29.03,1,win,7,0,8,15.00,18,5,51,0.279732,207,1003,14233,4498,10466
Blue,jng,1742,29.03,1,win,1,0,15,16.00,18,5,51,0.229735,16,284,11136,2075,10466
Blue,mid,1742,29.03,1,win,4,3,9,4.33,18,5,51,0.238258,-404,-83,11824,2974,10466
Blue,bot,1742,29.03,1,win,4,1,10,14.00,18,5,51,0.175112,-96,-253,10553,-845,10466
Blue,sup,1742,29.03,1,win,2,1,9,11.00,18,5,51,0.0771634,-30,127,7625,1764,10466
Red,top,1742,29.03,0,loss,1,4,0,0.25,5,18,9,0.200472,-207,-1003,9735,-4498,-10466
Red,jng,1742,29.03,0,loss,2,5,2,0.80,5,18,9,0.147882,-16,-284,9061,-2075,-10466
Red,mid,1742,29.03,0,loss,0,5,3,0.60,5,18,9,0.365391,404,83,8850,-2974,-10466
Red,bot,1742,29.03,0,loss,2,3,1,1.00,5,18,9,0.250417,96,253,11398,845,-10466
Red,sup,1742,29.03,0,loss,0,1,3,3.00,5,18,9,0.0358385,30,-127,5861,-1764,-10466
Blue,top,1713,28.55,1,win,1,0,9,10.00,16,1,33,0.283046,77,508,10455,2833,15750
Blue,jng,1713,28.55,1,win,6,0,2,8.00,16,1,33,0.13191,990,1424,11644,4438,15750
Blue,mid,1713,28.55,1,win,8,1,6,14.00,16,1,33,0.347535,645,1046,14141,4851,15750
Blue,bot,1713,28.55,1,win,1,0,6,7.00,16,1,33,0.185529,167,58,12108,1714,15750
Blue,sup,1713,28.55,1,win,0,0,10,10.00,16,1,33,0.0519809,51,125,7228,1914,15750
Red,top,1713,28.55,0,loss,0,5,0,0.00,1,16,1,0.250324,-77,-508,7622,-2833,-15750
Red,jng,1713,28.55,0,loss,0,3,1,0.33,1,16,1,0.0886035,-990,-1424,7206,-4438,-15750
Red,mid,1713,28.55,0,loss,1,6,0,0.17,1,16,1,0.246196,-645,-1046,9290,-4851,-15750
Red,bot,1713,28.55,0,loss,0,0,0,0.00,1,16,1,0.401009,-167,-58,10394,-1714,-15750
Red,sup,1713,28.55,0,loss,0,2,0,0.00,1,16,1,0.0138679,-51,-125,5314,-1914,-15750
